tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Aia,38b,Aia,38b,1,"Tartu linn, Aia 38b",,,,,not_found,0,,,
Aia,6,Aia,6,2,"Tartu linn, Aia 6",640977.12,6456320.24,58.225028,26.399744,multiple,3,EE00764245,"Tartu maakond, Elva vald, Elva linn, Aia tn 6",
Aia,63,Aia,63,1,"Tartu linn, Aia 63",,,,,not_found,0,,,
Aia,5,Aia,5,1,"Tartu linn, Aia 5",640999.78,6456330.12,58.225111,26.400141,multiple,3,EE00775944,"Tartu maakond, Elva vald, Elva linn, Aia tn 5",
Aia,2,Aia,2,2,"Tartu linn, Aia 2",640970.97,6456244.51,58.224357,26.399596,ok,1,EE00735619,"Tartu maakond, Elva vald, Elva linn, Aia tn 2",
Aia,12,Aia,12,2,"Tartu linn, Aia 12",683272.99,6506680.65,58.661075,27.159132,ok,1,EE00737736,"Tartu maakond, Peipsiääre vald, Kallaste linn, Aia tn 12a",
Aia,39,Aia,39,1,"Tartu linn, Aia 39",,,,,not_found,0,,,
Aia,17,Aia,17,1,"Tartu linn, Aia 17",,,,,not_found,0,,,
Aia,66,Aia,66,1,"Tartu linn, Aia 66",,,,,not_found,0,,,
Aia,30,Aia,30,1,"Tartu linn, Aia 30",,,,,not_found,0,,,
Aia,29,Aia,29,1,"Tartu linn, Aia 29",,,,,not_found,0,,,
Aleksandri,43a,Aleksandri,43a,1,"Tartu linn, Aleksandri 43a",,,,,not_found,0,,,
Aleksandri,40,Aleksandri,40,3,"Tartu linn, Aleksandri 40",660149.37,6473345.68,58.371194,26.737577,ok,1,EE00757835,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 40",
Aleksandri,70,Aleksandri,70,2,"Tartu linn, Aleksandri 70",,,,,not_found,0,,,
Aleksandri,28,Aleksandri,28,2,"Tartu linn, Aleksandri 28",659985.03,6473568.79,58.373254,26.734932,multiple,5,EE00769525,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 28",
Aleksandri,14,Aleksandri,14,4,"Tartu linn, Aleksandri 14",659845.23,6473679.68,58.374301,26.732619,ok,1,ME00761655,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 14",
Aleksandri,53,Aleksandri,53,2,"Tartu linn, Aleksandri 53",660178.70,6473263.14,58.370438,26.738031,ok,1,EE04063127,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 53",
Aleksandri,44,Aleksandri,44,3,"Tartu linn, Aleksandri 44",660210.01,6473280.43,58.370579,26.738572,ok,1,EE00767506,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 44",
Aleksandri,38,Aleksandri,38,2,"Tartu linn, Aleksandri 38",660123.00,6473368.96,58.371410,26.737149,multiple,2,EE01143856,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 38",
Annemõisa,9a,Annemõisa,9a,2,"Tartu linn, Annemõisa 9a",,,,,not_found,0,,,
Annemõisa,2,Annemõisa,2,2,"Tartu linn, Annemõisa 2",662379.82,6474126.07,58.377368,26.776222,ok,1,ME00765812,"Tartu maakond, Tartu linn, Tartu linn, Annemõisa tn 2",
Annemõisa,19,Annemõisa,19,2,"Tartu linn, Annemõisa 19",,,,,not_found,0,,,
Elisabeti,29,Eha,29,1,"Tartu linn, Eha 29",659515.40,6473077.77,58.369021,26.726565,ok,1,ME00781458,"Tartu maakond, Tartu linn, Tartu linn, Eha tn 29",vana nimi 'Elisabeti' → 'Eha'
Elisabeti,25,Eha,25,6,"Tartu linn, Eha 25",659521.39,6473097.58,58.369199,26.726681,ok,1,EE00781457,"Tartu maakond, Tartu linn, Tartu linn, Eha tn 25",vana nimi 'Elisabeti' → 'Eha'
Elisabeti,14,Eha,14,2,"Tartu linn, Eha 14",659375.02,6473049.57,58.368821,26.724155,ok,1,EE00764383,"Tartu maakond, Tartu linn, Tartu linn, Eha tn 14",vana nimi 'Elisabeti' → 'Eha'
Elisabeti,17,Eha,17,1,"Tartu linn, Eha 17",659392.68,6473007.28,58.368429,26.724433,multiple,2,ME03652477,"Tartu maakond, Tartu linn, Tartu linn, Eha tn 17",vana nimi 'Elisabeti' → 'Eha'
Elisabeti,6,Eha,6,2,"Tartu linn, Eha 6",659319.89,6473022.96,58.368599,26.723198,ok,1,EE00769455,"Tartu maakond, Tartu linn, Tartu linn, Eha tn 6",vana nimi 'Elisabeti' → 'Eha'
Elva,13,Elva,13,2,"Tartu linn, Elva 13",658561.07,6472828.97,58.367135,26.710105,multiple,3,EE00766133,"Tartu maakond, Tartu linn, Tartu linn, Elva tn 13",
Elva,4,Elva,4,4,"Tartu linn, Elva 4",658567.60,6472793.23,58.366809,26.710199,multiple,5,EE03607117,"Tartu maakond, Tartu linn, Tartu linn, Elva tn 4",
Elva,8,Elva,8,3,"Tartu linn, Elva 8",658520.85,6472741.99,58.366369,26.709362,ok,1,EE00760126,"Tartu maakond, Tartu linn, Tartu linn, Elva tn 8",
Emajõe,4,Emajõe,4,3,"Tartu linn, Emajõe 4",658999.15,6475039.48,58.386802,26.719113,ok,1,EE00767017,"Tartu maakond, Tartu linn, Tartu linn, Emajõe tn 4",
Emajõe,6,Emajõe,6,2,"Tartu linn, Emajõe 6",658981.78,6475096.77,58.387328,26.718863,ok,1,EE00769879,"Tartu maakond, Tartu linn, Tartu linn, Emajõe tn 6",
Emajõe,8,Emajõe,8,1,"Tartu linn, Emajõe 8",658959.18,6475112.21,58.387471,26.718480,multiple,2,EE00747770,"Tartu maakond, Tartu linn, Tartu linn, Emajõe tn 8",
Emajõe,9,Emajõe,9,1,"Tartu linn, Emajõe 9",658934.08,6475131.33,58.387650,26.718066,multiple,2,EE00767014,"Tartu maakond, Tartu linn, Tartu linn, Emajõe tn 9",
Filosoofi,1,Filosoofi,1,2,"Tartu linn, Filosoofi 1",658984.62,6473319.73,58.371385,26.717683,multiple,5,ME00758581,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 1",
Filosoofi,21,Filosoofi,21,2,"Tartu linn, Filosoofi 21",659156.75,6473123.12,58.369556,26.720484,ok,1,EE00747780,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 21",
Filosoofi,23,Filosoofi,23,4,"Tartu linn, Filosoofi 23",659178.35,6473098.15,58.369324,26.720825,ok,1,EE00747789,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 23",
Filosoofi,4,Filosoofi,4,9,"Tartu linn, Filosoofi 4",659067.92,6473256.05,58.370781,26.719056,multiple,2,EE00768091,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 4",
Filosoofi,7,Filosoofi,7,1,"Tartu linn, Filosoofi 7",659088.97,6473197.63,58.370253,26.719375,ok,1,EE00767020,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 7",
Filosoofi,31,Filosoofi,31,1,"Tartu linn, Filosoofi 31",659175.34,6473069.37,58.369065,26.720754,ok,1,ME00747792,"Tartu maakond, Tartu linn, Tartu linn, Filosoofi tn 31",
Fortuna,51,Fortuna,51,2,"Tartu linn, Fortuna 51",,,,,not_found,0,,,
Fortuna,57,Fortuna,57,1,"Tartu linn, Fortuna 57",,,,,not_found,0,,,
Fortuna,14,Fortuna,14,2,"Tartu linn, Fortuna 14",,,,,not_found,0,,,
Fortuna,8,Fortuna,8,6,"Tartu linn, Fortuna 8",,,,,not_found,0,,,
Gildi,3,Gildi,3,6,"Tartu linn, Gildi 3",659141.32,6474458.67,58.381547,26.721137,ok,1,EE00768084,"Tartu maakond, Tartu linn, Tartu linn, Gildi tn 3",
Gildi,8,Gildi,8,1,"Tartu linn, Gildi 8",659180.69,6474490.40,58.381810,26.721841,ok,1,ME00759275,"Tartu maakond, Tartu linn, Tartu linn, Gildi tn 8",
Herne,49a,Herne,49a,1,"Tartu linn, Herne 49a",,,,,not_found,0,,,
Herne,11,Herne,11,2,"Tartu linn, Herne 11",658894.87,6474826.70,58.384937,26.717190,ok,1,EE00760970,"Tartu maakond, Tartu linn, Tartu linn, Herne tn 11",
Herne,40,Herne,40,1,"Tartu linn, Herne 40",658699.96,6474899.90,58.385663,26.713909,ok,1,EE00766375,"Tartu maakond, Tartu linn, Tartu linn, Herne tn 40",
Herne,39,Herne,39,1,"Tartu linn, Herne 39",658687.64,6474995.57,58.386529,26.713770,ok,1,EE00747846,"Tartu maakond, Tartu linn, Tartu linn, Herne tn 39",
Hetseli,6,J. W. F. Hezeli,6,1,"Tartu linn, J. W. F. Hezeli 6",,,,,not_found,0,,,vana nimi 'Hetseli' → 'J. W. F. Hezeli'
Holmi,22,Holmi,22,1,"Tartu linn, Holmi 22",,,,,not_found,0,,,
J. Hurda,9,Jakob Hurda,9,1,"Tartu linn, Jakob Hurda 9",658223.36,6474527.03,58.382490,26.705504,ok,1,EE01668598,"Tartu maakond, Tartu linn, Tartu linn, J. Hurda tn 9",vana nimi 'J. Hurda' → 'Jakob Hurda'
Jaama,49,Jaama,49,2,"Tartu linn, Jaama 49",660071.52,6474829.70,58.384535,26.737297,ok,1,EE00747897,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 49",
Jaama,73,Jaama,73,1,"Tartu linn, Jaama 73",660296.90,6474726.33,58.383519,26.741067,ok,1,EE00747913,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 73",
Jaama,2,Jaama,2,1,"Tartu linn, Jaama 2",659499.91,6475165.99,58.387758,26.727760,multiple,5,ME00750240,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 2",
Jaama,38,Jaama,38,2,"Tartu linn, Jaama 38",660058.63,6474888.64,58.385069,26.737116,ok,1,EE00759559,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 38",
Jaama,56,Jaama,56,2,"Tartu linn, Jaama 56",660255.26,6474857.51,58.384719,26.740442,multiple,4,ME00752018,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 56",
Jaama,35,Jaama,35,1,"Tartu linn, Jaama 35",659839.80,6474967.51,58.385858,26.733430,ok,1,EE00756073,"Tartu maakond, Tartu linn, Tartu linn, Jaama tn 35",
Jaani,24,Jaani,24,1,"Tartu linn, Jaani 24",,,,,not_found,0,,,
Jaani,1a,Jaani,1a,2,"Tartu linn, Jaani 1a",,,,,not_found,0,,,
Jaani,1,Jaani,1,4,"Tartu linn, Jaani 1",659000.23,6474592.43,58.382791,26.718820,multiple,3,EE00749634,"Tartu maakond, Tartu linn, Tartu linn, Jaani tn 14",
Jaani,26,Jaani,26,1,"Tartu linn, Jaani 26",,,,,not_found,0,,,
Jakobi,43,Jakobi,43,1,"Tartu linn, Jakobi 43",658518.83,6474704.38,58.383971,26.710682,ok,1,EE00772395,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 43",
Jakobi,34,Jakobi,34,1,"Tartu linn, Jakobi 34",658784.70,6474517.42,58.382196,26.715096,ok,1,EE00747821,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 34",
Jakobi,12,Jakobi,12,2,"Tartu linn, Jakobi 12",,,,,not_found,0,,,
Jakobi,8,Jakobi,8,1,"Tartu linn, Jakobi 8",,,,,not_found,0,,,
Jakobi,39,Jakobi,39,2,"Tartu linn, Jakobi 39",658567.47,6474665.86,58.383612,26.711475,ok,1,EE00772396,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 39",
Jakobi,58,Jakobi,58,1,"Tartu linn, Jakobi 58",658580.72,6474574.92,58.382791,26.711652,ok,1,EE00772394,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 58",
Jänese,28,Jänese,28,1,"Tartu linn, Jänese 28",660078.38,6475446.15,58.390059,26.737829,ok,1,EE00768092,"Tartu maakond, Tartu linn, Tartu linn, Jänese tn 28",
Kalda,16,Kalda,16,4,"Tartu linn, Kalda 16",661387.74,6473646.59,58.373438,26.758944,ok,1,EE00764740,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 16",
Kalevi,16,Kalevi,16,1,"Tartu linn, Kalevi 16",,,,,not_found,0,,,
Karlova,11,Karlova,11,2,"Tartu linn, Karlova 11",660011.77,6473612.65,58.373639,26.735424,multiple,5,EE00760398,"Tartu maakond, Tartu linn, Tartu linn, Aida tn 11",
Karlova,69,Karlova,69,1,"Tartu linn, Karlova 69",659896.93,6473257.27,58.370488,26.733212,multiple,2,EE00768965,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 69",
Karlova,15,Karlova,15,1,"Tartu linn, Karlova 15",659546.57,6472366.04,58.362622,26.726617,multiple,5,EE00747688,"Tartu maakond, Tartu linn, Tartu linn, Alevi tn 15",
Karlova,81,Karlova,81,1,"Tartu linn, Karlova 81",659951.14,6473131.32,58.369338,26.734046,multiple,2,EE00747976,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 81",
Karlova,67,Karlova,67,4,"Tartu linn, Karlova 67",659865.55,6473307.74,58.370956,26.732718,multiple,2,EE00747971,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 67",
Karlova,13,Karlova,13,2,"Tartu linn, Karlova 13",659531.12,6472373.96,58.362700,26.726350,multiple,5,EE00747691,"Tartu maakond, Tartu linn, Tartu linn, Alevi tn 13",
Karlova,41,Karlova,41,2,"Tartu linn, Karlova 41",660079.32,6473380.29,58.371524,26.736405,multiple,5,EE01029344,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 41",
Karlova,8,Karlova,8,1,"Tartu linn, Karlova 8",659604.29,6473269.83,58.370711,26.728218,multiple,5,EE00774475,"Tartu maakond, Tartu linn, Tartu linn, A. Kitzbergi tn 8",
Karlova,25,Karlova,25,1,"Tartu linn, Karlova 25",659703.70,6472338.69,58.362323,26.729278,multiple,5,EE00765788,"Tartu maakond, Tartu linn, Tartu linn, Alevi tn 25",
Kastani,6a,Kastani,6a,1,"Tartu linn, Kastani 6a",658569.75,6473925.27,58.376964,26.711015,ok,1,ME03055698,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 6a",
Kastani,79a,Kastani,79a,1,"Tartu linn, Kastani 79a",,,,,not_found,0,,,
Kastani,48,Kastani,48,1,"Tartu linn, Kastani 48",658943.13,6473132.16,58.369714,26.716836,multiple,5,ME00757104,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 48",
Kastani,59,Kastani,59,1,"Tartu linn, Kastani 59",658724.42,6473431.74,58.372485,26.713304,ok,1,EE00748107,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 59",
Kastani,77-a,Kastani,77a,1,"Tartu linn, Kastani 77a",,,,,not_found,0,,,
Kastani,33,Kastani,33,2,"Tartu linn, Kastani 33",658582.85,6473767.60,58.375550,26.711128,ok,1,EE00748099,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 33",
Kastani,65,Kastani,65,2,"Tartu linn, Kastani 65",658739.71,6473390.52,58.372111,26.713549,ok,1,EE00769640,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 65",
Kastani,5,Kastani,5,1,"Tartu linn, Kastani 5",658445.58,6474096.70,58.378552,26.709016,multiple,5,EE00769139,"Tartu maakond, Tartu linn, Tartu linn, Kastani tn 5",
Kastani,67,Kastani,67,1,"Tartu linn, Kastani 67",659195.96,6472290.28,58.362068,26.720573,multiple,2,ME00779525,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 67",
Katoliku,1,Katoliku,1,6,"Tartu linn, Katoliku 1",,,,,not_found,0,,,
Kesk,4,Kesk,4,1,"Tartu linn, Kesk 4",659416.86,6473279.41,58.370860,26.725031,multiple,5,EE00773830,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 4",
Kesk,6,Kesk,6,1,"Tartu linn, Kesk 6",659439.03,6473268.08,58.370754,26.725399,multiple,5,ME00750808,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 6",
Kesk,25,Kesk,25,1,"Tartu linn, Kesk 25",659466.04,6472746.00,58.366061,26.725498,multiple,2,EE01933562,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 25",
Kesk,17,Kesk,17,1,"Tartu linn, Kesk 17",659449.31,6472871.77,58.367197,26.725295,multiple,2,EE00773817,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 17",
Kesk,2,Kesk,2,3,"Tartu linn, Kesk 2",659399.63,6473285.95,58.370929,26.724746,multiple,5,EE00773829,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 2",
Kesk,44,Kesk,44,1,"Tartu linn, Kesk 44",659510.10,6472645.88,58.365148,26.726180,ok,1,EE00773798,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 44",
Kesk,3,Kesk,3,4,"Tartu linn, Kesk 3",659412.29,6473141.57,58.369633,26.724851,multiple,5,EE00773825,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 3",
Kesk,11,Kesk,11,2,"Tartu linn, Kesk 11",659434.06,6472976.52,58.368145,26.725112,ok,1,EE00773820,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 11",
Kivi,17,Kivi,17,1,"Tartu linn, Kivi 17",,,,,not_found,0,,,
Kivi,60,Kivi,60,1,"Tartu linn, Kivi 60",659899.92,6474889.73,58.385136,26.734401,ok,1,EE00748227,"Tartu maakond, Tartu linn, Tartu linn, Kivi tn 60",
Kloostri,3,Kloostri,3,1,"Tartu linn, Kloostri 3",658926.25,6474700.33,58.383787,26.717631,ok,1,EE00748234,"Tartu maakond, Tartu linn, Tartu linn, Kloostri tn 3",
Koidu,22,Koidu,22,1,"Tartu linn, Koidu 22",659338.00,6473302.68,58.371104,26.723699,ok,1,EE00774572,"Tartu maakond, Tartu linn, Tartu linn, Koidu tn 22",
Kompani,1,Kompanii,1,1,"Tartu linn, Kompanii 1",659310.43,6474403.42,58.380983,26.723984,multiple,3,EE00748258,"Tartu maakond, Tartu linn, Tartu linn, Kompanii tn 1c",vana nimi 'Kompani' → 'Kompanii'
Kooli,12,Kooli,12,1,"Tartu linn, Kooli 12",658347.25,6473851.52,58.376390,26.707156,ok,1,EE00748251,"Tartu maakond, Tartu linn, Tartu linn, Kooli tn 12",
Kroonuaia,9,Kroonuaia,9,1,"Tartu linn, Kroonuaia 9",658809.55,6474660.36,58.383470,26.715622,ok,1,EE00748265,"Tartu maakond, Tartu linn, Tartu linn, Kroonuaia tn 9",
Kroonuaia,74,Kroonuaia,74,3,"Tartu linn, Kroonuaia 74",,,,,not_found,0,,,
Kroonuaia,53,Kroonuaia,53,1,"Tartu linn, Kroonuaia 53",,,,,not_found,0,,,
Kroonuaia,31,Kroonuaia,31,2,"Tartu linn, Kroonuaia 31",658976.32,6474771.29,58.384406,26.718534,ok,1,EE00775057,"Tartu maakond, Tartu linn, Tartu linn, Kroonuaia tn 31",
Kroonuaia,18,Kroonuaia,18,1,"Tartu linn, Kroonuaia 18",,,,,not_found,0,,,
Kuperjanovi,8,Kuperjanovi,8,1,"Tartu linn, Kuperjanovi 8",658750.12,6473800.57,58.375786,26.714003,ok,1,EE03901307,"Tartu maakond, Tartu linn, Tartu linn, J. Kuperjanovi tn 8",
Kuperjanovi,24,Kuperjanovi,24,1,"Tartu linn, Kuperjanovi 24",,,,,not_found,0,,,
Kuu,49,Kuu,49,1,"Tartu linn, Kuu 49",,,,,not_found,0,,,
Küüni,1,Küüni,1,1,"Tartu linn, Küüni 1",659241.55,6474276.94,58.379877,26.722735,ok,1,ME00747950,"Tartu maakond, Tartu linn, Tartu linn, Küüni tn 1",
Küütri,3,Küütri,3,1,"Tartu linn, Küütri 3",659168.85,6474385.15,58.380873,26.721563,ok,1,EE01800865,"Tartu maakond, Tartu linn, Tartu linn, Küütri tn 3",
Küütri,33,Küütri,33,2,"Tartu linn, Küütri 33",,,,,not_found,0,,,
Küütri,8b,Küütri,8b,1,"Tartu linn, Küütri 8b",,,,,not_found,0,,,
Küütri,14,Küütri,14,1,"Tartu linn, Küütri 14",659233.05,6474433.92,58.381289,26.722691,ok,1,EE00767958,"Tartu maakond, Tartu linn, Tartu linn, Küütri tn 14",
Lai,9,Lai,9,1,"Tartu linn, Lai 9",,,,,not_found,0,,,
Lai,15,Lai,15,1,"Tartu linn, Lai 15",658934.66,6474574.44,58.382653,26.717698,ok,1,EE00762664,"Tartu maakond, Tartu linn, Tartu linn, Lai tn 15",
Lai,6,Lai,6,1,"Tartu linn, Lai 6",658875.50,6474546.79,58.382432,26.716671,ok,1,ME00772764,"Tartu maakond, Tartu linn, Tartu linn, Lai tn 6",
Lepiku,2,Lepiku,2,1,"Tartu linn, Lepiku 2",658754.86,6474661.67,58.383508,26.714684,ok,1,EE00775705,"Tartu maakond, Tartu linn, Tartu linn, Lepiku tn 2",
Lepiku,14,Lepiku,14,1,"Tartu linn, Lepiku 14",658623.71,6474818.27,58.384955,26.712554,ok,1,EE00767607,"Tartu maakond, Tartu linn, Tartu linn, Lepiku tn 14",
Lepiku,10,Lepiku,10,2,"Tartu linn, Lepiku 10",658670.81,6474780.36,58.384597,26.713331,ok,1,EE00764818,"Tartu maakond, Tartu linn, Tartu linn, Lepiku tn 10",
Lepiku,4,Lepiku,4,1,"Tartu linn, Lepiku 4",658726.08,6474690.08,58.383770,26.714208,ok,1,EE00775702,"Tartu maakond, Tartu linn, Tartu linn, Lepiku tn 4",
Liiva,14,Liiva,14,1,"Tartu linn, Liiva 14",641577.69,6454953.72,58.212578,26.409131,ok,1,CU00614728,"Tartu maakond, Elva vald, Elva linn, Liiva tn 14",
Liiva,24,Liiva,24,2,"Tartu linn, Liiva 24",659142.40,6475399.09,58.389979,26.721805,ok,1,EE00757533,"Tartu maakond, Tartu linn, Tartu linn, Liiva tn 24",
Liiva,17,Liiva,17,3,"Tartu linn, Liiva 17",659164.76,6475338.59,58.389432,26.722157,ok,1,EE00765191,"Tartu maakond, Tartu linn, Tartu linn, Liiva tn 17",
Liiva,7,Liiva,7,1,"Tartu linn, Liiva 7",641522.60,6455196.63,58.214776,26.408344,multiple,3,EE00757646,"Tartu maakond, Elva vald, Elva linn, Liiva tn 7",
Lille,24,Lille,24,1,"Tartu linn, Lille 24",,,,,not_found,0,,,
Lille,17,Lille,17,4,"Tartu linn, Lille 17",,,,,not_found,0,,,
Lille,22,Lille,22,2,"Tartu linn, Lille 22",,,,,not_found,0,,,
Lille,3,Lille,3,2,"Tartu linn, Lille 3",640615.37,6455383.22,58.216737,26.393018,ok,1,EE00776792,"Tartu maakond, Elva vald, Elva linn, Lille tn 3",
Lodja,9,Lodja,9,3,"Tartu linn, Lodja 9",,,,,not_found,0,,,
Lodja,16,Lodja,16,1,"Tartu linn, Lodja 16",,,,,not_found,0,,,
Lodja,15,Lodja,15,1,"Tartu linn, Lodja 15",,,,,not_found,0,,,
Lootuse,13,Lootuse,13,3,"Tartu linn, Lootuse 13",659399.09,6473213.70,58.370284,26.724679,ok,1,EE00775812,"Tartu maakond, Tartu linn, Tartu linn, Lootuse tn 13",
Lootuse,7,Lootuse,7,3,"Tartu linn, Lootuse 7",,,,,not_found,0,,,
Lossi,14,Lossi,14,4,"Tartu linn, Lossi 14",,,,,not_found,0,,,
Lossi,9,Lossi,9,1,"Tartu linn, Lossi 9",659025.35,6474280.17,58.379983,26.719031,ok,1,EE00781456,"Tartu maakond, Tartu linn, Tartu linn, Lossi tn 9",
Lossi,28,Lossi,28,1,"Tartu linn, Lossi 28",659021.59,6474173.99,58.379033,26.718907,ok,1,ME00751729,"Tartu maakond, Tartu linn, Tartu linn, Lossi tn 28",
Lossi,18,Lossi,18,2,"Tartu linn, Lossi 18",,,,,not_found,0,,,
Lossi,20,Lossi,20,1,"Tartu linn, Lossi 20",,,,,not_found,0,,,
Lõuna,2a,Lõuna,2a,1,"Tartu linn, Lõuna 2a",,,,,not_found,0,,,
Maarja,11,Maarja,11,2,"Tartu linn, Maarja 11",,,,,not_found,0,,,
Maarja,31,Maarja,31,2,"Tartu linn, Maarja 31",,,,,not_found,0,,,
Maarjamõisa,6,Maarjamõisa,6,3,"Tartu linn, Maarjamõisa 6",657999.38,6472988.97,58.368773,26.700619,multiple,5,CU00488071,"Tartu maakond, Tartu linn, Tartu linn, L. Puusepa tn 6",
Maarjamõisa,9,Maarjamõisa,9,1,"Tartu linn, Maarjamõisa 9",657106.73,6472553.33,58.365183,26.685091,multiple,5,EE00777178,"Tartu maakond, Tartu linn, Tartu linn, Aroonia tn 9",
Maarjamõisa,62,Maarjamõisa,62,1,"Tartu linn, Maarjamõisa 62",,,,,not_found,0,,,
Maarjamõisa,42,Maarjamõisa,42,2,"Tartu linn, Maarjamõisa 42",,,,,not_found,0,,,
Maarjamõisa,15,Maarjamõisa,15,1,"Tartu linn, Maarjamõisa 15",657123.33,6472487.31,58.364586,26.685319,multiple,5,EE00993567,"Tartu maakond, Tartu linn, Tartu linn, Aroonia tn 15",
Maarjamõisa,26,Maarjamõisa,26,2,"Tartu linn, Maarjamõisa 26",656941.06,6472193.09,58.362013,26.682011,ok,1,EE00993815,"Tartu maakond, Tartu linn, Tartu linn, Raja tn 26",
Maarjamõisa,14,Maarjamõisa,14,3,"Tartu linn, Maarjamõisa 14",657565.63,6473020.80,58.369217,26.693248,multiple,5,EE00760324,"Tartu maakond, Tartu linn, Tartu linn, Kullerkupu tn 14",
Maarjamõisa,22,Maarjamõisa,22,1,"Tartu linn, Maarjamõisa 22",657106.82,6472047.55,58.360653,26.684746,multiple,3,EE00771830,"Tartu maakond, Tartu linn, Tartu linn, Puhkekodu tn 22",
Maarjamäe,6,Maarjamäe,6,1,"Tartu linn, Maarjamäe 6",,,,,not_found,0,,,
Maarjamäe,42,Maarjamäe,42,1,"Tartu linn, Maarjamäe 42",,,,,not_found,0,,,
Magasini,12,Vabaduse pst,12,2,"Tartu linn, Vabaduse pst 12",659002.79,6475749.65,58.393178,26.719674,multiple,5,CU00495200,"Tartu maakond, Tartu linn, Tartu linn, Puiestee tn 12",KAHTLANE mapping: 'Magasini' → 'Vabaduse pst' (kontrollida)
Magasini,3,Vabaduse pst,3,1,"Tartu linn, Vabaduse pst 3",659379.39,6474388.75,58.380832,26.725153,ok,1,ME00751411,"Tartu maakond, Tartu linn, Tartu linn, Vabaduse pst 3",KAHTLANE mapping: 'Magasini' → 'Vabaduse pst' (kontrollida)
Marja,10,Marja,10,1,"Tartu linn, Marja 10",658537.43,6474907.19,58.385785,26.711129,ok,1,EE00769028,"Tartu maakond, Tartu linn, Tartu linn, Marja tn 10",
Meloni,3,Meloni,3,1,"Tartu linn, Meloni 3",658406.24,6474979.62,58.386488,26.708942,multiple,5,EE00761651,"Tartu maakond, Tartu linn, Tartu linn, Meloni tn 3",
Meltsiveski,51,Meltsiveski,51,3,"Tartu linn, Meltsiveski 51",,,,,not_found,0,,,
Meltsiveski,54,Meltsiveski,54,1,"Tartu linn, Meltsiveski 54",,,,,not_found,0,,,
Munga,2,Munga,2,8,"Tartu linn, Munga 2",,,,,not_found,0,,,
Munga,4,Munga,4,1,"Tartu linn, Munga 4",658966.72,6474503.90,58.382014,26.718196,multiple,2,ME02238208,"Tartu maakond, Tartu linn, Tartu linn, Jakobi tn 5",
Munga,5,Munga,5,1,"Tartu linn, Munga 5",659171.21,6474526.66,58.382146,26.721696,ok,1,EE03169490,"Tartu maakond, Tartu linn, Tartu linn, Munga tn 5",
Mäe,23,Mäe,23,1,"Tartu linn, Mäe 23",659641.36,6474976.14,58.386002,26.730036,ok,1,EE00748495,"Tartu maakond, Tartu linn, Tartu linn, Mäe tn 23",
Narva,141,Narva,141,2,"Tartu linn, Narva 141",,,,,not_found,0,,,
Narva,127,Narva,127,3,"Tartu linn, Narva 127",659505.81,6475256.59,58.388572,26.727925,ok,1,EE00757174,"Tartu maakond, Tartu linn, Tartu linn, Narva mnt 127",
Narva,87,Narva,87,1,"Tartu linn, Narva 87",,,,,not_found,0,,,
