tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Riia,75,Riia,75,1,"Tartu linn, Riia 75",658128.67,6472697.89,58.366116,26.702639,multiple,2,EE00750442,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 75",
Riia,33,Riia,33,1,"Tartu linn, Riia 33",658783.50,6473247.07,58.370804,26.714201,ok,1,EE02142896,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 33",
Riia,105,Riia,105,1,"Tartu linn, Riia 105",657743.17,6472459.00,58.364111,26.695884,multiple,2,EE00774592,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 105",
Riia,71,Riia,71,1,"Tartu linn, Riia 71",658270.54,6472818.91,58.367150,26.705146,ok,1,EE00760840,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 71",
Riia mnt,25,Riia,25,4,"Tartu linn, Riia 25",658919.60,6473384.66,58.371992,26.716618,multiple,2,ME00748826,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 25",vana nimi 'Riia mnt' → 'Riia'
Risti,2,Risti,2,1,"Tartu linn, Risti 2",659199.19,6475647.95,58.392192,26.722952,multiple,2,EE03183301,"Tartu maakond, Tartu linn, Tartu linn, Risti tn 2",
Risti,8,Risti,8,1,"Tartu linn, Risti 8",659229.02,6475699.62,58.392648,26.723501,ok,1,EE00748855,"Tartu maakond, Tartu linn, Tartu linn, Risti tn 8",
Roosi,31,Roosi,31,2,"Tartu linn, Roosi 31",659699.77,6474851.67,58.384868,26.730958,ok,1,EE03671917,"Tartu maakond, Tartu linn, Tartu linn, Roosi tn 31",
Roosi,21,Roosi,21,1,"Tartu linn, Roosi 21",,,,,not_found,0,,,
Rüütli,9,Rüütli,9,7,"Tartu linn, Rüütli 9",659207.86,6474425.10,58.381217,26.722257,ok,1,ME00747951,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 9",
Rüütli,3,Rüütli,3,1,"Tartu linn, Rüütli 3",659227.58,6474358.86,58.380618,26.722553,ok,1,EE01072524,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 3",
Rüütli,4,Rüütli,4,1,"Tartu linn, Rüütli 4",659178.63,6474363.22,58.380672,26.721719,multiple,2,ME00770721,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 4",
Rüütli,8,Rüütli,8,3,"Tartu linn, Rüütli 8",659175.57,6474414.95,58.381139,26.721704,ok,1,ME00747952,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 8",
Rüütli,15,Rüütli,15,1,"Tartu linn, Rüütli 15",659150.86,6474554.68,58.382404,26.721374,ok,1,ME00769970,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 15",
Rüütli,11,Rüütli,11,6,"Tartu linn, Rüütli 11",659180.45,6474456.48,58.381506,26.721801,ok,1,EE03274770,"Tartu maakond, Tartu linn, Tartu linn, Rüütli tn 11",
